country,cluster,iso_alpha
AE,2,ARE
AF,2,AFG
AI,2,AIA
AL,4,ALB
AM,4,ARM
AO,2,AGO
AR,3,ARG
AT,0,AUT
AU,3,AUS
AW,2,ABW
AZ,4,AZE
BA,4,BIH
BD,3,BGD
BE,0,BEL
BF,1,BFA
BG,0,BGR
BH,2,BHR
BI,2,BDI
BJ,1,BEN
BO,2,BOL
BQ,2,BES
BR,3,BRA
BW,1,BWA
BY,4,BLR
BZ,2,BLZ
CA,4,CAN
CD,1,COD
CG,2,COG
CH,0,CHE
CI,1,CIV
CL,3,CHL
CM,1,CMR
CN,3,CHN
CO,3,COL
CR,3,CRI
CU,2,CUB
CV,1,CPV
CY,0,CYP
CZ,0,CZE
DE,0,DEU
DJ,1,DJI
DK,0,DNK
DO,2,DOM
DZ,1,DZA
EC,3,ECU
EE,0,EST
EG,1,EGY
ES,0,ESP
ET,1,ETH
FI,0,FIN
FO,4,FRO
FR,0,FRA
GA,2,GAB
GD,2,GRD
GE,4,GEO
GH,0,GHA
GI,2,GIB
GL,3,GRL
GM,2,GMB
GN,2,GIN
GT,3,GTM
GW,2,GNB
HK,3,HKG
HN,2,HND
HR,0,HRV
HT,2,HTI
HU,0,HUN
ID,3,IDN
IE,0,IRL
IL,0,ISR
IN,3,IND
IQ,4,IRQ
IR,2,IRN
IS,4,ISL
IT,0,ITA
JE,2,JEY
JM,2,JAM
JO,4,JOR
JP,3,JPN
KE,0,KEN
KG,3,KGZ
KH,2,KHM
KR,3,KOR
KW,2,KWT
KZ,2,KAZ
LB,4,LBN
LI,2,LIE
LK,2,LKA
LR,2,LBR
LS,2,LSO
LT,4,LTU
LU,4,LUX
LV,4,LVA
LY,2,LBY
MA,0,MAR
MC,2,MCO
MD,4,MDA
ME,4,MNE
MG,1,MDG
MH,2,MHL
MK,4,MKD
ML,1,MLI
MM,2,MMR
MN,2,MNG
MR,1,MRT
MT,4,MLT
MU,1,MUS
MV,2,MDV
MW,1,MWI
MX,3,MEX
MY,3,MYS
MZ,1,MOZ
NC,3,NCL
NE,2,NER
NG,1,NGA
NI,2,NIC
NL,0,NLD
NO,0,NOR
NP,2,NPL
NZ,3,NZL
OM,2,OMN
PA,2,PAN
PE,3,PER
PF,2,PYF
PG,2,PNG
PH,3,PHL
PK,1,PAK
PL,0,POL
PS,4,PSE
PT,0,PRT
PY,2,PRY
QA,2,QAT
RO,0,ROU
RS,0,SRB
RU,4,RUS
RW,1,RWA
SA,2,SAU
SC,2,SYC
SD,1,SDN
SE,0,SWE
SG,2,SGP
SI,0,SVN
SK,0,SVK
SL,2,SLE
SN,1,SEN
SR,2,SUR
SX,2,SXM
SZ,2,SWZ
TD,2,TCD
TG,1,TGO
TH,3,THA
TJ,2,TJK
TM,2,TKM
TN,0,TUN
TR,0,TUR
TW,3,TWN
TZ,1,TZA
UA,4,UKR
UG,1,UGA
US,0,USA
UY,3,URY
UZ,2,UZB
VE,2,VEN
VG,2,VGB
VN,3,VNM
WF,2,WLF
YE,2,YEM
ZA,0,ZAF
ZM,1,ZMB
ZW,2,ZWE
