"language";"availableLanguages";"uri";"title";"type";"source";"represents"
"en";"en,any";"/docs/projects/files/792/792037/215035.jpg";"";"relatedImage";"editorial";"projectLogo"
"en";"en,any";"/docs/projects/files/654/654408/s2l-flyer-print-version.pdf";"Unlimited renewable fuel supply from H2O, CO2 and solar energy";"relatedPrint";"editorial";""
"en";"en,any";"/docs/projects/files/723/723311/c-mobile-logo-master.png";"";"relatedImage";"editorial";"projectLogo"
"en";"en,any";"/docs/projects/files/812/812753/220825.png";"";"relatedImage";"editorial";"projectLogo"
"en";"en,any";"/docs/projects/files/955/955646/230763.png";"";"relatedImage";"editorial";"projectLogo"
"en";"en";"/docs/projects/files/896/896651/227621.png";"";"relatedImage";"editorial";"projectLogo"
"en";"en,any";"/docs/projects/files/956/956874/232820.pdf";"Optimised Usage of Hybrid HPC Infrastructures";"relatedPrint";"editorial";""
"en";"en,any";"/docs/projects/files/642/642154/fissac-logo-colour-v.png";"";"relatedImage";"editorial";"projectLogo"
"en";"en,any";"/docs/projects/files/770/770045/dialls-black.jpg";"";"relatedImage";"editorial";"projectLogo"
"en";"en,any";"/docs/projects/files/101/101000236/236283.pdf";"1st issue of the GEroNIMO newsletter";"relatedPrint";"editorial";""
